a2jmidid 9-5
findutils 4.10.0-2
firefox 136.0-1
fish 4.0.0-2
flac 1.5.0-1
flatpak 1:1.16.0-1
flex 2.6.4-5
fltk 1.3.9-1
fluidsynth 2.4.3-1
fmt 11.1.4-1
fomp.lv2 1.2.4-3
fontconfig 2:2.16.0-2
foot 1.20.2-1
freeglut 3.6.0-1
freetype2 2.13.3-3
freeverb3 3.2.1-5
freewheeling 0.6.6-5
fribidi 1.0.16-1
ftgl 2.4.0-3
furnace 0.6.7-2
fuse-common 3.16.2-1
fuse2 2.9.9-5
fuse3 3.16.2-1
fuzzel 1.11.1-2
g2reverb 0.7.1-7
garcon 4.20.0-2
gawk 5.3.1-2
gc 8.2.8-2
gcc 14.2.1+r753+g1cd744a6828f-1
gcc-libs 14.2.1+r753+g1cd744a6828f-1
gcr 3.41.2-2
gcr-4 4.3.0-1
gd 2.3.3-8
gdbm 1.24-2
gdk-pixbuf2 2.42.12-2
gdm 47.0-2
geoclue 2.7.2-1
geocode-glib-2 3.26.4-4
geocode-glib-common 3.26.4-4
geonkick-common 3.5.2-2
geonkick-lv2 3.5.2-2
geonkick-standalone 3.5.2-2
geonkick-vst3 3.5.2-2
gettext 0.24-1
ghc 9.2.8-1
ghc-libs 9.2.8-1
ghostscript 10.04.0-1
giflib 5.2.2-1
gigedit 1.2.1-1
git 2.48.1-2
github-cli 2.68.1-1
gjs 2:1.82.1-2
glew 2.2.0-7
glib-networking 1:2.80.1-1
glib2 2.84.0-1
glib2-devel 2.84.0-1
glib2-docs 2.84.0-1
glibc 2.41+r9+ga900dbaf70f0-1
glibmm 2.66.7-1
glslang 15.1.0-1
glu 9.0.3-2
glycin 1.1.6-1
gmp 6.3.0-2
gmsynth.lv2 0.6.2-1
gnome-autoar 0.4.5-1
gnome-bluetooth-3.0 47.1-1
gnome-color-manager 3.36.2-1
gnome-control-center 47.4-1
gnome-desktop 1:44.1-1
gnome-desktop-4 1:44.1-1
gnome-desktop-common 1:44.1-1
gnome-keybindings 47.4-1
gnome-keyring 1:46.2-1
gnome-online-accounts 3.52.3.1-1
gnome-session 47.0.1-1
gnome-settings-daemon 47.2-1
gnome-shell 1:47.5-1
gnome-themes-extra 3.28+r6+g45b1d457-2
gnome-tweaks 46.1-2
gnu-free-fonts 20120503-8
gnulib-l10n 20241231-1
gnupg 2.4.7-1
gnutls 3.8.9-1
gobject-introspection 1.82.0-3
gobject-introspection-runtime 1.82.0-3
gperftools 2.16-1
gpgme 1.24.2-1
gpm 1.20.7.r38.ge82d1a6-6
gptfdisk 1.0.10-1
graphene 1.10.8-2
graphite 1:1.3.14-4
graphviz 12.2.1-1
grep 3.11-1
grim 1.4.1-3
groff 1.23.0-7
grub 2:2.12.r226.g56ccc5ed-1
gsettings-desktop-schemas 47.1-1
gsettings-system-schemas 47.1-1
gsfonts 20200910-4
gsl 2.8-1
gsm 1.0.22-2
gsound 1.0.3-3
gssdp 1.6.3-2
gst-plugin-pipewire 1:1.2.7-1
gst-plugins-bad-libs 1.24.12-3
gst-plugins-base-libs 1.24.12-3
gst-plugins-good 1.24.12-3
gstreamer 1.24.12-3
gtest 1.15.2-1
gtk-doc 1.34.0-3
gtk-engine-murrine 0.98.2-4
gtk-layer-shell 0.9.0-1
gtk-update-icon-cache 1:4.16.12-1
gtk2 2.24.33-5
gtk3 1:3.24.49-1
gtk4 1:4.16.12-1
gtk4-layer-shell 1.1.0-1
gtkmm 1:2.24.5-5
gtkmm3 3.24.9-1
gts 0.7.6.121130-3
guile 3.0.10-1
guitarix 0.46.0-3
gupnp 1:1.6.8-1
gupnp-igd 1.6.0-1
gvfs 1.56.1-3
gzip 1.13-4
harfbuzz 10.4.0-1
harfbuzz-icu 10.4.0-1
haskell-blaze-builder 0.4.2.3-2
haskell-clock 0.8.4-27
haskell-colour 2.3.6-232
haskell-data-binary-ieee754 0.4.4-22
haskell-data-default-class 0.1.2.0-25
haskell-hosc 0.20-46
haskell-math-functions 0.3.4.4-35
haskell-mwc-random 0.15.1.0-11
haskell-network 3.1.4.0-31
haskell-primitive 0.7.4.0-133
haskell-random 1.2.1.2-40
haskell-splitmix 0.1.0.5-45
haskell-tidal 1.9.5-14
haskell-tidal-link 1.0.3-1
haskell-vector 0.13.1.0-61
haskell-vector-stream 0.1.0.1-2
hdf5 1.14.5-1
hexter 1.1.1-3
hicolor-icon-theme 0.18-1
hidapi 0.14.0-3
highway 1.2.0-1
hivex 1.3.24-1
htop 3.3.0-3
hwdata 0.393-1
hydrogen 1.2.4-1
hyphen 2.8.8-6
hyprcursor 0.1.11-3
hyprgraphics 0.1.2-1
hyprland 0.47.2-2
hyprland-qt-support 0.1.0-4
hyprland-qtutils 0.1.3-4
hyprlang 0.6.0-5
hyprnome 0.3.1-1
hyprpicker 0.4.2-3
hyprsunset 0.1.0-6
hyprutils 0.5.1-1
hyprwayland-scanner 0.4.4-1
i3-wm 4.24-1
i3blocks 1.5-4
i3lock 2.15-2
i3status 2.15-1
iana-etc 20250213-1
icu 76.1-1
iempluginsuite-standalone 1.14.1-3
iempluginsuite-vst3 1.14.1-3
iio-sensor-proxy 3.6-1
ijs 0.35-6
imagemagick 7.1.1.44-1
imlib2 1.12.3-2
infamousplugins 0.3.2-2
iniparser 4.2.6-1
intel-gmmlib 22.6.0-1
intel-media-driver 25.1.2-1
intel-ucode 20250211-1
iproute2 6.13.0-1
iptables 1:1.8.10-2
iputils 20240905-1
iso-codes 4.17.0-1
iwd 3.4-1
jaaa 0.9.2-3
jack-example-tools 4-2
jack-stdio 1.6-3
